title;company;location;url;source;category;resume_match;matched_skills;missing_skills;matched_weight;total_weight;match_summary;score;reasons;description;date_posted;applied;interview;notes
IT Support Technician;Government of Canada;Ottawa;https://jobs.gc.ca/it-support-technician;Government;IT Support;0.0;[];['Windows 10', 'Windows 11', 'Windows Server 2022', 'Linux', 'Active Directory', 'Group Policy', 'DNS', 'DHCP', 'Microsoft 365', 'Entra ID', 'TCP/IP', 'LAN/WAN', 'VPN', 'Cisco', 'VMware Workstation', 'Virtual Machines', 'Wazuh', 'Firewall', 'Python', 'PowerShell', 'Docker', 'Git', 'GitHub', 'VS Code'];0;167;0.0% match | 0 matched | 24 missing;190.0;['+30 Category: IT Support', '+50 Title: it support', '+50 Title: support technician', '+15 Company: government', '+20 Company: government of canada', '+25 Location: Ottawa', '+0.0 Resume Match (0.0%)'];;;;;
Desktop Support Technician;Government of Canada;Gatineau;https://jobs.gc.ca/desktop-support-technician;Government;IT Support;0.0;[];['Windows 10', 'Windows 11', 'Windows Server 2022', 'Linux', 'Active Directory', 'Group Policy', 'DNS', 'DHCP', 'Microsoft 365', 'Entra ID', 'TCP/IP', 'LAN/WAN', 'VPN', 'Cisco', 'VMware Workstation', 'Virtual Machines', 'Wazuh', 'Firewall', 'Python', 'PowerShell', 'Docker', 'Git', 'GitHub', 'VS Code'];0;167;0.0% match | 0 matched | 24 missing;190.0;['+30 Category: IT Support', '+50 Title: desktop support', '+50 Title: support technician', '+15 Company: government', '+20 Company: government of canada', '+25 Location: Gatineau', '+0.0 Resume Match (0.0%)'];;;;;
Help Desk Analyst;Government of Canada;Remote;https://jobs.gc.ca/help-desk-analyst;Government;IT Support;0.0;[];['Windows 10', 'Windows 11', 'Windows Server 2022', 'Linux', 'Active Directory', 'Group Policy', 'DNS', 'DHCP', 'Microsoft 365', 'Entra ID', 'TCP/IP', 'LAN/WAN', 'VPN', 'Cisco', 'VMware Workstation', 'Virtual Machines', 'Wazuh', 'Firewall', 'Python', 'PowerShell', 'Docker', 'Git', 'GitHub', 'VS Code'];0;167;0.0% match | 0 matched | 24 missing;130.0;['+30 Category: IT Support', '+50 Title: help desk', '+15 Company: government', '+20 Company: government of canada', '+15 Remote', '+0.0 Resume Match (0.0%)'];;;;;
Global Sales Enablement Systems Administrator;Stripe;US-Remote;https://stripe.com/jobs/search?gh_jid=7993682;Greenhouse;System Administration;4.2;['Active Directory'];['Windows 10', 'Windows 11', 'Windows Server 2022', 'Linux', 'Group Policy', 'DNS', 'DHCP', 'Microsoft 365', 'Entra ID', 'TCP/IP', 'LAN/WAN', 'VPN', 'Cisco', 'VMware Workstation', 'Virtual Machines', 'Wazuh', 'Firewall', 'Python', 'PowerShell', 'Docker', 'Git', 'GitHub', 'VS Code'];7;167;4.2% match | 1 matched | 23 missing;64.2;['+25 Category: System Administration', '+40 Title: systems administrator', '-20 Penalty: sales', '+15 Remote', '+4.2 Resume Match (4.2%)'];;;;;
Site Reliability Engineer, Cloud Cost Utilization;Gitlab;Remote, US;https://job-boards.greenhouse.io/gitlab/jobs/8515080002;Greenhouse;Cloud / DevOps;0.0;[];['Windows 10', 'Windows 11', 'Windows Server 2022', 'Linux', 'Active Directory', 'Group Policy', 'DNS', 'DHCP', 'Microsoft 365', 'Entra ID', 'TCP/IP', 'LAN/WAN', 'VPN', 'Cisco', 'VMware Workstation', 'Virtual Machines', 'Wazuh', 'Firewall', 'Python', 'PowerShell', 'Docker', 'Git', 'GitHub', 'VS Code'];0;167;0.0% match | 0 matched | 24 missing;50.0;['+10 Category: Cloud / DevOps', '+25 Title: cloud', '+15 Remote', '+0.0 Resume Match (0.0%)'];;;;;
