title;company;location;url;source;score;description;date_posted;category;applied;interview;notes
IT Support Technician;Government of Canada;Ottawa;https://jobs.gc.ca/it-support-technician;Government;110;;;;;;
Desktop Support Technician;Government of Canada;Gatineau;https://jobs.gc.ca/desktop-support-technician;Government;110;;;;;;
Help Desk Analyst;Government of Canada;Remote;https://jobs.gc.ca/help-desk-analyst;Government;100;;;;;;
Support Engineer, U.S. Government Support;Gitlab;Remote, US;https://job-boards.greenhouse.io/gitlab/jobs/8628780002;Greenhouse;50;;;;;;
Staff Infrastructure Security Engineer ;Gitlab;"Remote, India; Remote, Israel; Remote, United Kingdom; Remote, US";https://job-boards.greenhouse.io/gitlab/jobs/8514960002;Greenhouse;40;;;;;;
Global Sales Enablement Systems Administrator;Stripe;US-Remote;https://stripe.com/jobs/search?gh_jid=7993682;Greenhouse;40;;;;;;
