title;company;location;url;source;score;description;date_posted;category;applied;interview;notes
IT Support Technician;Government of Canada;Ottawa;https://jobs.gc.ca/it-support-technician;Government;90;;;;;;
Desktop Support Technician;Government of Canada;Gatineau;https://jobs.gc.ca/desktop-support-technician;Government;85;;;;;;
Help Desk Analyst;Government of Canada;Remote;https://jobs.gc.ca/help-desk-analyst;Government;65;;;;;;
Infrastructure Tax Lead;Anthropic;Remote-Friendly (Travel-Required) | San Francisco, CA | New York City, NY;https://job-boards.greenhouse.io/anthropic/jobs/5123851008;Greenhouse;40;;;;;;
Engineering Manager, Cell Infrastructure;Gitlab;Remote, Bangalore;https://job-boards.greenhouse.io/gitlab/jobs/8615946002;Greenhouse;40;;;;;;
Partner Development Manager, Global Networks;Stripe;"US-Remote; US-Chicago; US-Atlanta; Canada-Toronto; Canada-Remote; US-NYC; US-San Francisco; US-Seattle";https://stripe.com/jobs/search?gh_jid=7697675;Greenhouse;40;;;;;;
Technical Partner Manager - Networks;Stripe;"US-Remote; US-Chicago; US-Atlanta; Canada-Toronto";https://stripe.com/jobs/search?gh_jid=7543679;Greenhouse;40;;;;;;
Technical Program Manager, Core Infrastructure;Stripe;Seattle, SF, Remote;https://stripe.com/jobs/search?gh_jid=7589234;Greenhouse;40;;;;;;
Technical Program Manager, Service Infrastructure;Stripe;Seattle, San Francisco, Remote in the US;https://stripe.com/jobs/search?gh_jid=7985196;Greenhouse;40;;;;;;
